name,hex,r,g,b
Cherry blossom pink,#FFB7C5,1.0,0.72,0.77
Chestnut,#954535,0.58,0.27,0.21
Chili red,#E23D28,0.89,0.24,0.16
China pink,#DE6FA1,0.87,0.44,0.63
Chinese red,#AA381E,0.67,0.22,0.12
Chinese violet,#856088,0.52,0.38,0.53
Chinese yellow,#FFB200,1.0,0.7,0.0
Chocolate (traditional),#7B3F00,0.48,0.25,0.0
Chocolate (web),#D2691E,0.82,0.41,0.12
Cinereous,#98817B,0.6,0.51,0.48
Cinnabar,#E34234,0.89,0.26,0.2
Cinnamon Satin,#CD607E,0.8,0.38,0.49
Citrine,#E4D00A,0.89,0.82,0.04
Citron,#9FA91F,0.62,0.66,0.12
Claret,#7F1734,0.5,0.09,0.2
Coffee,#6F4E37,0.44,0.31,0.22
Columbia Blue,#B9D9EB,0.73,0.85,0.92
Congo pink,#F88379,0.97,0.51,0.47
Cool grey,#8C92AC,0.55,0.57,0.67
Copper,#B87333,0.72,0.45,0.2
Copper (Crayola),#DA8A67,0.85,0.54,0.4
Copper penny,#AD6F69,0.68,0.44,0.41
Copper red,#CB6D51,0.8,0.43,0.32
Copper rose,#996666,0.6,0.4,0.4
Coquelicot,#FF3800,1.0,0.22,0.0
Coral,#FF7F50,1.0,0.5,0.31
Coral pink,#F88379,0.97,0.51,0.47
Cordovan,#893F45,0.54,0.25,0.27
Corn,#FBEC5D,0.98,0.93,0.36
Cornflower blue,#6495ED,0.39,0.58,0.93
Cornsilk,#FFF8DC,1.0,0.97,0.86
Cosmic cobalt,#2E2D88,0.18,0.18,0.53
Cosmic latte,#FFF8E7,1.0,0.97,0.91
Coyote brown,#81613C,0.51,0.38,0.24
Cotton candy,#FFBCD9,1.0,0.74,0.85
Cream,#FFFDD0,1.0,0.99,0.82
Crimson,#DC143C,0.86,0.08,0.24
Crimson (UA),#9E1B32,0.62,0.11,0.2
Cultured,#F5F5F5,0.96,0.96,0.96
Cyan,#00FFFF,0.0,1.0,1.0
Cyan (process),#00B7EB,0.0,0.72,0.92
Cyber grape,#58427C,0.35,0.26,0.49
Cyber yellow,#FFD300,1.0,0.83,0.0
Cyclamen,#F56FA1,0.96,0.44,0.63
Dark brown,#654321,0.4,0.26,0.13
Dark byzantium,#5D3954,0.36,0.22,0.33
Dark cyan,#008B8B,0.0,0.55,0.55
Dark electric blue,#536878,0.33,0.41,0.47
Dark goldenrod,#B8860B,0.72,0.53,0.04
Dark green (X11),#006400,0.0,0.39,0.0
Dark jungle green,#1A2421,0.1,0.14,0.13
Dark khaki,#BDB76B,0.74,0.72,0.42
Dark lava,#483C32,0.28,0.24,0.2
Dark liver (horses),#543D37,0.33,0.24,0.22
Dark magenta,#8B008B,0.55,0.0,0.55
Dark olive green,#556B2F,0.33,0.42,0.18
Dark orange,#FF8C00,1.0,0.55,0.0
Dark orchid,#9932CC,0.6,0.2,0.8
Dark purple,#301934,0.19,0.1,0.2
Dark red,#8B0000,0.55,0.0,0.0
Dark salmon,#E9967A,0.91,0.59,0.48
Dark sea green,#8FBC8F,0.56,0.74,0.56
Dark sienna,#3C1414,0.24,0.08,0.08
Dark sky blue,#8CBED6,0.55,0.75,0.84
Dark slate blue,#483D8B,0.28,0.24,0.55
Dark slate gray,#2F4F4F,0.18,0.31,0.31
Dark spring green,#177245,0.09,0.45,0.27
Dark turquoise,#00CED1,0.0,0.81,0.82
Dark violet,#9400D3,0.58,0.0,0.83
Davy's grey,#555555,0.33,0.33,0.33
Deep cerise,#DA3287,0.85,0.2,0.53
Deep champagne,#FAD6A5,0.98,0.84,0.65
Deep chestnut,#B94E48,0.73,0.31,0.28
Deep jungle green,#004B49,0.0,0.29,0.29
Deep pink,#FF1493,1.0,0.08,0.58
Deep saffron,#FF9933,1.0,0.6,0.2
Deep sky blue,#00BFFF,0.0,0.75,1.0
Deep Space Sparkle,#4A646C,0.29,0.39,0.42
Deep taupe,#7E5E60,0.49,0.37,0.38
Denim,#1560BD,0.08,0.38,0.74
Denim blue,#2243B6,0.13,0.26,0.71
Desert,#C19A6B,0.76,0.6,0.42
Desert sand,#EDC9AF,0.93,0.79,0.69
Dim gray,#696969,0.41,0.41,0.41
Dodger blue,#1E90FF,0.12,0.56,1.0
Drab,#967117,0.59,0.44,0.09
Drab dark brown,#4A412A,0.29,0.25,0.16
Duke blue,#00009C,0.0,0.0,0.61
Dutch white,#EFDFBB,0.94,0.87,0.73
Ebony,#555D50,0.33,0.36,0.31
Ecru,#C2B280,0.76,0.7,0.5
Eerie black,#1B1B1B,0.11,0.11,0.11
Eggplant,#614051,0.38,0.25,0.32
Eggshell,#F0EAD6,0.94,0.92,0.84
Electric lime,#CCFF00,0.8,1.0,0.0
Electric purple,#BF00FF,0.75,0.0,1.0
Electric violet,#8F00FF,0.56,0.0,1.0
Emerald,#50C878,0.31,0.78,0.47
Eminence,#6C3082,0.42,0.19,0.51
English lavender,#B48395,0.71,0.51,0.58
English red,#AB4B52,0.67,0.29,0.32
English vermillion,#CC474B,0.8,0.28,0.29
English violet,#563C5C,0.34,0.24,0.36
Erin,#00FF40,0.0,1.0,0.25
Eton blue,#96C8A2,0.59,0.78,0.64
Fallow,#C19A6B,0.76,0.6,0.42
Falu red,#801818,0.5,0.09,0.09
