,sens,spec,prec,npv,jac,acc,phi,fnr,fpr,fdr,for,plr,nlr,pt,ba,f1,fm,bm,mk,dor,auc
0,0.5,0.9008264462809916,0.5714285714285714,0.872,0.3636363636363637,0.8169934640522876,0.4215897276561316,0.5,0.09917355371900828,0.4285714285714286,0.128,5.041666666666667,0.5550458715596329,0.3081316942394837,0.7004132231404958,0.5333333333333333,0.5345224838248488,0.4008264462809916,0.4434285714285715,9.083333333333334,0.7306301652892563
1,0.65625,0.7024793388429752,0.3684210526315789,0.8854166666666666,0.3088235294117647,0.6928104575163399,0.3017598999490628,0.34375,0.2975206611570248,0.631578947368421,0.11458333333333336,2.2057291666666665,0.4893382352941176,0.40238700099328656,0.6793646694214877,0.4719101123595506,0.4917075510803893,0.3587293388429753,0.2538377192982455,4.507575757575758,0.7141012396694215
2,0.625,0.8016528925619835,0.4545454545454545,0.8899082568807339,0.35714285714285715,0.7647058823529411,0.38335645596975937,0.375,0.19834710743801653,0.5454545454545454,0.11009174311926606,3.1510416666666665,0.4677835051546392,0.3603451197730089,0.7133264462809917,0.5263157894736842,0.5330017908890261,0.42665289256198347,0.3444537114261885,6.736111111111112,0.7244318181818181
3,0.625,0.7355371900826446,0.38461538461538464,0.8811881188118812,0.3125,0.7124183006535948,0.3095675180631667,0.375,0.2644628099173554,0.6153846153846154,0.1188118811881188,2.36328125,0.5098314606741573,0.39412024080218616,0.6802685950413223,0.4761904761904762,0.4902903378454601,0.3605371900826446,0.2658035034272659,4.635416666666667,0.7221074380165291
4,0.625,0.7272727272727273,0.37735849056603776,0.88,0.3076923076923077,0.7058823529411765,0.3010986173307519,0.375,0.2727272727272727,0.6226415094339622,0.12,2.291666666666667,0.515625,0.3978001370699967,0.6761363636363636,0.4705882352941177,0.4856429311786321,0.3522727272727273,0.25735849056603777,4.4444444444444455,0.71900826446281
5,0.5625,0.8429752066115702,0.4864864864864865,0.8793103448275862,0.35294117647058826,0.7843137254901961,0.3851253636868537,0.4375,0.15702479338842978,0.5135135135135135,0.1206896551724138,3.5822368421052624,0.5189950980392157,0.3457002045189413,0.702737603305785,0.5217391304347827,0.5231143743471868,0.4054752066115701,0.3657968313140727,6.902255639097742,0.7476756198347108
6,0.65625,0.71900826446281,0.3818181818181817,0.8877551020408163,0.3181818181818182,0.7058823529411765,0.3180559740776269,0.34375,0.28099173553719003,0.6181818181818182,0.11224489795918367,2.335477941176471,0.4780890804597701,0.3955340944506705,0.6876291322314051,0.4827586206896553,0.500567859353936,0.37525826446281,0.2695732838589981,4.885026737967915,0.7199121900826446
7,0.53125,0.8595041322314051,0.5,0.8739495798319328,0.3469387755102041,0.7908496732026143,0.3822595238388776,0.46875,0.14049586776859502,0.5,0.12605042016806722,3.78125,0.5453725961538461,0.3396111993754627,0.6953770661157025,0.5151515151515151,0.5153882032022076,0.390754132231405,0.3739495798319328,6.933333333333335,0.7173295454545453
8,0.625,0.7024793388429752,0.35714285714285715,0.8762886597938144,0.29411764705882354,0.6862745098039216,0.2764850788587586,0.375,0.2975206611570248,0.6428571428571428,0.12371134020618554,2.100694444444444,0.5338235294117647,0.4082670383035522,0.6637396694214877,0.4545454545454545,0.472455591261534,0.3274793388429753,0.23343151693667166,3.9351851851851847,0.7277892561983471
9,0.65625,0.7107438016528925,0.375,0.8865979381443299,0.31343283582089554,0.6993464052287581,0.3098464487841451,0.34375,0.2892561983471075,0.625,0.11340206185567014,2.26875,0.4836482558139535,0.39900455813927627,0.6834969008264462,0.4772727272727273,0.4960783708246108,0.3669938016528924,0.26159793814432986,4.6909090909090905,0.7272727272727272
10,0.59375,0.6859504132231405,0.3333333333333333,0.8645833333333334,0.2714285714285714,0.6666666666666666,0.2352814770661159,0.40625,0.31404958677685946,0.6666666666666667,0.13541666666666666,1.890625,0.5922439759036144,0.4210526315789474,0.6398502066115703,0.42696629213483145,0.44487826050130463,0.27970041322314065,0.19791666666666674,3.1923076923076934,0.6980888429752066
