,sens,spec,prec,npv,jac,acc,phi,fnr,fpr,fdr,for,plr,nlr,pt,ba,f1,fm,bm,mk,dor,auc
0,0.5625,0.7851239669421488,0.4090909090909091,0.8715596330275229,0.3103448275862069,0.7385620915032679,0.3123473303482422,0.4375,0.2148760330578512,0.5909090909090908,0.12844036697247707,2.617788461538462,0.5572368421052631,0.3819770814179013,0.6738119834710744,0.4736842105263158,0.4797016118001235,0.3476239669421488,0.280650542118432,4.697802197802199,0.7102272727272727
1,0.625,0.6859504132231405,0.3448275862068966,0.8736842105263158,0.2857142857142857,0.673202614379085,0.26066517505858594,0.375,0.31404958677685946,0.6551724137931034,0.12631578947368416,1.9901315789473688,0.5466867469879517,0.41481379126775547,0.6554752066115703,0.4444444444444445,0.4642383454426297,0.31095041322314065,0.2185117967332124,3.640350877192984,0.7138429752066116
2,0.59375,0.71900826446281,0.3584905660377358,0.87,0.2878787878787879,0.6928104575163399,0.267324358935147,0.40625,0.28099173553719003,0.6415094339622642,0.13,2.1130514705882355,0.5650143678160919,0.4075587667166026,0.656379132231405,0.4470588235294118,0.4613607846197005,0.31275826446281,0.2284905660377359,3.739819004524888,0.7122933884297521
3,0.59375,0.71900826446281,0.3584905660377358,0.87,0.2878787878787879,0.6928104575163399,0.267324358935147,0.40625,0.28099173553719003,0.6415094339622642,0.13,2.1130514705882355,0.5650143678160919,0.4075587667166026,0.656379132231405,0.4470588235294118,0.4613607846197005,0.31275826446281,0.2284905660377359,3.739819004524888,0.6944731404958677
4,0.65625,0.6942148760330579,0.3620689655172414,0.8842105263157894,0.3043478260869565,0.6862745098039216,0.29378957022799096,0.34375,0.3057851239669421,0.6379310344827587,0.11578947368421055,2.146114864864865,0.4951636904761905,0.4056856995649065,0.6752324380165289,0.4666666666666667,0.4874502627147612,0.35046487603305776,0.2462794918330309,4.334152334152335,0.7174586776859504
5,0.40625,0.8181818181818182,0.37142857142857133,0.8389830508474576,0.24074074074074076,0.7320261437908496,0.21730868126698288,0.59375,0.18181818181818174,0.6285714285714286,0.1610169491525424,2.2343750000000004,0.7256944444444444,0.40083653094697697,0.6122159090909092,0.3880597014925374,0.388449298033678,0.22443181818181834,0.21041162227602905,3.078947368421053,0.7037706611570247
6,0.59375,0.7520661157024794,0.3877551020408163,0.875,0.3064516129032258,0.7189542483660131,0.30143813423116145,0.40625,0.2479338842975206,0.6122448979591837,0.125,2.3947916666666678,0.5401785714285714,0.392539944301571,0.6729080578512396,0.4691358024691358,0.4798224586623001,0.3458161157024793,0.2627551020408163,4.433333333333335,0.709452479338843
7,0.59375,0.7851239669421488,0.4222222222222222,0.8796296296296297,0.3275862068965517,0.7450980392156863,0.3381771851262957,0.40625,0.2148760330578512,0.5777777777777777,0.12037037037037035,2.763221153846154,0.5174342105263158,0.37561592420187495,0.6894369834710744,0.4935064935064935,0.5006939628599933,0.3788739669421488,0.3018518518518518,5.3402366863905355,0.7270144628099173
8,0.65625,0.7107438016528925,0.375,0.8865979381443299,0.31343283582089554,0.6993464052287581,0.3098464487841451,0.34375,0.2892561983471075,0.625,0.11340206185567014,2.26875,0.4836482558139535,0.39900455813927627,0.6834969008264462,0.4772727272727273,0.4960783708246108,0.3669938016528924,0.26159793814432986,4.6909090909090905,0.7091942148760331
9,0.53125,0.8099173553719008,0.425,0.8672566371681416,0.3090909090909091,0.7516339869281046,0.3157664073212033,0.46875,0.1900826446280992,0.575,0.1327433628318584,2.7948369565217392,0.5787627551020409,0.37428279179533797,0.6705836776859504,0.4722222222222222,0.4751644452187053,0.3411673553719008,0.29225663716814165,4.828985507246376,0.7006714876033058
10,0.53125,0.7603305785123967,0.3695652173913043,0.8598130841121495,0.2786885245901639,0.7124183006535948,0.2586160432969464,0.46875,0.2396694214876033,0.6304347826086957,0.14018691588785048,2.2165948275862077,0.616508152173913,0.4017963022085626,0.6457902892561984,0.4358974358974359,0.4430931298712839,0.2915805785123968,0.22937830150345384,3.5954022988505763,0.71900826446281
11,0.5625,0.7107438016528925,0.33962264150943394,0.86,0.26865671641791045,0.6797385620915033,0.2335501005395421,0.4375,0.2892561983471075,0.6603773584905661,0.14,1.9446428571428571,0.6155523255813954,0.4176229326448948,0.6366219008264462,0.4235294117647059,0.4370786380607689,0.2732438016528924,0.199622641509434,3.1591836734693866,0.696797520661157
12,0.625,0.7355371900826446,0.38461538461538464,0.8811881188118812,0.3125,0.7124183006535948,0.3095675180631667,0.375,0.2644628099173554,0.6153846153846154,0.1188118811881188,2.36328125,0.5098314606741573,0.39412024080218616,0.6802685950413223,0.4761904761904762,0.4902903378454601,0.3605371900826446,0.2658035034272659,4.635416666666667,0.7138429752066116
13,0.4375,0.8347107438016529,0.4117647058823529,0.8487394957983193,0.2692307692307692,0.7516339869281046,0.2662931514383192,0.5625,0.1652892561983471,0.5882352941176471,0.1512605042016807,2.646875,0.6738861386138614,0.3806736639710934,0.6361053719008265,0.42424242424242425,0.4244373438135827,0.272210743801653,0.26050420168067223,3.9277777777777785,0.7507747933884298
14,0.59375,0.7768595041322314,0.4130434782608696,0.8785046728971962,0.3220338983050847,0.7385620915032679,0.3287103827556404,0.40625,0.22314049586776866,0.5869565217391304,0.12149532710280375,2.6608796296296293,0.5229388297872339,0.3800517973993959,0.6853047520661157,0.4871794871794871,0.4952217333855525,0.3706095041322315,0.29154815115806576,5.088319088319087,0.7288223140495869
median,0.59375,0.7520661157024794,0.375,0.8715596330275229,0.3043478260869565,0.7124183006535948,0.29378957022799096,0.40625,0.2479338842975206,0.625,0.12844036697247707,2.26875,0.5572368421052631,0.39900455813927627,0.6705836776859504,0.4666666666666667,0.4751644452187053,0.3411673553719008,0.26050420168067223,4.334152334152335,0.7122933884297521
mean,0.572265625,0.7530991735537191,0.3817491197650922,0.869795414394141,0.2955577847017645,0.7148692810457516,0.2859071510347817,0.427734375,0.24690082644628095,0.6182508802349078,0.13020458560585899,2.3460710117450265,0.5669242500907962,0.3958214593896384,0.6625371255165289,0.45580098860003515,0.4662253720619723,0.32507425103305787,0.252416069700055,4.204037952733344,0.7137461260330579
std,0.06694975195704145,0.044011174388720646,0.026379413188823895,0.012338435732172979,0.022261872805632018,0.02508848453069294,0.033126304535206264,0.06694975195704145,0.04401117438872064,0.026379413188823923,0.012338435732172979,0.26446953539976975,0.06258001645312469,0.013336050573738307,0.020660436633453294,0.026915080345712186,0.02926950535755568,0.04132087326690659,0.0298697267668066,0.6504747379289649,0.013230816528387469
ci_lower,0.4410465223903087,0.666838856834515,0.3300464199816964,0.8456125247335199,0.2519253157743141,0.6656967549389032,0.22098078720487158,0.2965152723903087,0.16064050972707689,0.566548180451512,0.10602169594523786,1.827720247353437,0.44426967169074777,0.3696832805691066,0.6220434138100884,0.4030484004814374,0.408858195715861,0.24408682762017703,0.19387248100906201,2.9291308935394427,0.6878142021513611
ci_upper,0.7034847276096913,0.8393594902729232,0.43345181954848794,0.8939783040547621,0.33919025362921496,0.7640418071526001,0.35083351486469183,0.5589534776096913,0.333161143165485,0.6699535800183036,0.1543874752664801,2.864421776136616,0.6895788284908446,0.42195963821017024,0.7030308372229693,0.5085535767186329,0.5235925484080836,0.4060616744459387,0.31095965839104794,5.478945011927246,0.7396780499147546
